Category,Item code,Description,Price
Case,A1,Compact,75
Case,A2,Tower,150
RAM,B1,8 GB,79.99
RAM,B2,16 GB,149.99
RAM,B3,32 GB,299.99
Main Hard Disk Drive,C1,1 TB HDD,49.99
Main Hard Disk Drive,C2,2 TB HDD,89.99
Main Hard Disk Drive,C3,4 TB HDD,129.99
Solid State Drive,D1,240 GB SSD,59.99
Solid State Drive,D2,480 GB SSD,119.99
Second Hard Disk Drive,E1,1 TB HDD,49.99
Second Hard Disk Drive,E2,2 TB HDD,89.99
Second Hard Disk Drive,E3,4 TB HDD,129.99
Optical Drive,F1,DVD/Blu-Ray Player,50
Optical Drive,F2,DVD/Blu-Ray Re-writer,100
Operating System,G1,Standard Version,100
Operating System,G2,ProfessionalVersion,175
